entity_id,state,last_changed
sensor.available_current_l1,unavailable,2025-05-01T10:00:00.000Z
sensor.available_current_l1,14,2025-05-01T10:39:55.434Z
sensor.available_current_l1,13,2025-05-01T10:40:44.124Z
sensor.available_current_l1,14,2025-05-01T10:40:45.427Z
sensor.available_current_l1,13,2025-05-01T10:44:41.571Z
sensor.available_current_l1,10,2025-05-01T10:44:43.874Z
sensor.available_current_l1,5,2025-05-01T10:44:44.901Z
sensor.available_current_l1,6,2025-05-01T10:45:40.953Z
sensor.available_current_l1,8,2025-05-01T10:46:41.152Z
sensor.available_current_l1,7,2025-05-01T10:46:52.995Z
sensor.available_current_l1,8,2025-05-01T10:46:55.441Z
sensor.available_current_l1,13,2025-05-01T10:47:21.943Z
sensor.available_current_l1,14,2025-05-01T10:47:23.123Z
sensor.available_current_l1,13,2025-05-01T10:47:49.721Z
sensor.available_current_l1,14,2025-05-01T10:47:51.887Z
sensor.available_current_l1,13,2025-05-01T10:48:01.891Z
sensor.available_current_l1,14,2025-05-01T10:48:03.119Z
sensor.available_current_l1,13,2025-05-01T10:48:13.968Z
sensor.available_current_l1,14,2025-05-01T10:48:15.146Z
sensor.available_current_l1,13,2025-05-01T10:53:01.036Z
sensor.available_current_l1,14,2025-05-01T10:53:03.942Z
sensor.available_current_l1,13,2025-05-01T10:53:49.847Z
sensor.available_current_l1,14,2025-05-01T10:53:51.925Z
sensor.available_current_l1,13,2025-05-01T10:54:01.971Z
sensor.available_current_l1,14,2025-05-01T10:54:03.345Z
sensor.available_current_l1,13,2025-05-01T10:54:13.351Z
sensor.available_current_l1,14,2025-05-01T10:54:15.869Z
sensor.available_current_l1,13,2025-05-01T10:54:25.904Z
sensor.available_current_l1,14,2025-05-01T10:54:28.186Z
sensor.available_current_l1,11,2025-05-01T10:55:05.261Z
sensor.available_current_l1,7,2025-05-01T10:55:06.455Z
sensor.available_current_l1,8,2025-05-01T10:56:50.866Z
sensor.available_current_l1,15,2025-05-01T10:56:52.126Z
sensor.available_current_l1,16,2025-05-01T10:56:53.414Z
sensor.available_current_l1,17,2025-05-01T10:57:12.128Z
sensor.available_current_l1,16,2025-05-01T10:57:16.052Z
sensor.available_current_l1,11,2025-05-01T11:00:13.599Z
sensor.available_current_l1,10,2025-05-01T11:00:15.702Z
sensor.available_current_l1,9,2025-05-01T11:03:03.895Z
sensor.available_current_l1,8,2025-05-01T11:03:05.195Z
sensor.available_current_l1,7,2025-05-01T11:03:07.462Z
sensor.available_current_l1,6,2025-05-01T11:05:31.131Z
sensor.available_current_l1,1,2025-05-01T11:05:34.920Z
sensor.available_current_l1,3,2025-05-01T11:07:39.910Z
sensor.available_current_l1,-5,2025-05-01T11:07:41.136Z
sensor.available_current_l1,-3,2025-05-01T11:08:16.178Z
sensor.available_current_l1,0,2025-05-01T11:08:17.629Z
sensor.available_current_l1,1,2025-05-01T11:08:18.986Z
sensor.available_current_l1,0,2025-05-01T11:08:21.604Z
sensor.available_current_l1,6,2025-05-01T11:08:29.927Z
sensor.available_current_l1,5,2025-05-01T11:08:45.093Z
sensor.available_current_l1,6,2025-05-01T11:09:04.902Z
sensor.available_current_l1,5,2025-05-01T11:09:06.154Z
sensor.available_current_l1,6,2025-05-01T11:09:07.436Z
sensor.available_current_l1,5,2025-05-01T11:09:08.819Z
sensor.available_current_l1,6,2025-05-01T11:09:47.420Z
sensor.available_current_l1,4,2025-05-01T11:25:33.044Z
sensor.available_current_l1,0,2025-05-01T11:25:34.430Z
sensor.available_current_l1,4,2025-05-01T11:25:46.059Z
sensor.available_current_l1,0,2025-05-01T11:25:47.407Z
sensor.available_current_l1,6,2025-05-01T11:25:51.934Z
sensor.available_current_l1,0,2025-05-01T11:25:53.131Z
sensor.available_current_l1,3,2025-05-01T11:25:56.866Z
sensor.available_current_l1,6,2025-05-01T11:25:58.130Z
sensor.available_current_l1,3,2025-05-01T11:25:59.812Z
sensor.available_current_l1,0,2025-05-01T11:26:00.917Z
sensor.available_current_l1,3,2025-05-01T11:26:03.490Z
sensor.available_current_l1,6,2025-05-01T11:26:04.533Z
sensor.available_current_l1,3,2025-05-01T11:26:05.847Z
sensor.available_current_l1,0,2025-05-01T11:26:06.982Z
sensor.available_current_l1,4,2025-05-01T11:26:10.880Z
sensor.available_current_l1,6,2025-05-01T11:26:11.882Z
sensor.available_current_l1,0,2025-05-01T11:26:13.109Z
sensor.available_current_l1,4,2025-05-01T11:26:16.780Z
sensor.available_current_l1,6,2025-05-01T11:26:18.093Z
sensor.available_current_l1,0,2025-05-01T11:26:19.639Z
sensor.available_current_l1,5,2025-05-01T11:26:20.830Z
sensor.available_current_l1,6,2025-05-01T11:26:21.886Z
sensor.available_current_l1,2,2025-05-01T11:26:38.924Z
sensor.available_current_l1,6,2025-05-01T11:26:39.940Z
sensor.available_current_l1,1,2025-05-01T11:26:45.862Z
sensor.available_current_l1,6,2025-05-01T11:26:46.869Z
sensor.available_current_l1,5,2025-05-01T11:27:30.886Z
sensor.available_current_l1,6,2025-05-01T11:27:31.891Z
sensor.available_current_l1,3,2025-05-01T11:27:43.057Z
sensor.available_current_l1,0,2025-05-01T11:27:44.410Z
sensor.available_current_l1,1,2025-05-01T11:27:46.844Z
sensor.available_current_l1,6,2025-05-01T11:27:48.097Z
sensor.available_current_l1,4,2025-05-01T11:27:49.420Z
sensor.available_current_l1,0,2025-05-01T11:27:50.849Z
sensor.available_current_l1,1,2025-05-01T11:27:53.514Z
sensor.available_current_l1,6,2025-05-01T11:27:54.803Z
sensor.available_current_l1,4,2025-05-01T11:27:56.870Z
sensor.available_current_l1,0,2025-05-01T11:27:58.053Z
sensor.available_current_l1,3,2025-05-01T11:28:07.818Z
sensor.available_current_l1,6,2025-05-01T11:28:08.911Z
sensor.available_current_l1,0,2025-05-01T11:28:09.915Z
sensor.available_current_l1,5,2025-05-01T11:28:14.797Z
sensor.available_current_l1,3,2025-05-01T11:28:15.849Z
sensor.available_current_l1,0,2025-05-01T11:28:16.893Z
sensor.available_current_l1,3,2025-05-01T11:28:19.898Z
sensor.available_current_l1,2,2025-05-01T11:28:20.899Z
sensor.available_current_l1,6,2025-05-01T11:28:21.971Z
sensor.available_current_l1,3,2025-05-01T11:29:51.417Z
sensor.available_current_l1,6,2025-05-01T11:29:52.808Z
sensor.available_current_l1,3,2025-05-01T11:29:57.885Z
sensor.available_current_l1,6,2025-05-01T11:29:59.059Z
sensor.available_current_l1,4,2025-05-01T11:30:44.106Z
sensor.available_current_l1,6,2025-05-01T11:30:45.413Z
